threshold,mean_IoU
0.1,0.5198101569851453
0.11,0.5198101569851453
0.12,0.5198101569851453
0.13,0.5198101569851453
0.14,0.5198101569851453
0.15,0.5198101569851453
0.16,0.5198101569851453
0.17,0.5198101569851453
0.18,0.5198101569851453
0.19,0.5198101569851453
0.2,0.5198101569851453
0.21,0.5198101569851453
0.22,0.5198101569851453
0.23,0.5198101569851453
0.24,0.5198101569851453
0.25,0.5083661999630842
0.26,0.45392752514910567
0.27,0.4552830378030501
0.28,0.546549216043383
0.29,0.3443899573526184
0.3,0.16932269528967628
0.31,0.09215863308820509
0.32,0.04556876331316976
0.33,0.03139603663322302
0.34,0.013601079424307036
0.35,0.00984474946695096
0.36,0.0026652452025586353
0.37,0.0
0.38,0.0
0.39,0.0
0.4,0.0
