thresh,mean_IoU,mean_P,mean_R,mean_F1
0.15,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.16,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.17,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.18,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.19,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.2,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.21,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.22,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.23,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.24,0.5198101569851453,0.5198101569851453,0.9285714285714286,0.6265651160450157
0.25,0.5083661999630842,0.5199053950803835,0.928094602326912,0.6263735553011421
0.26,0.45392752514910567,0.5202794260002729,0.8745946976921609,0.5834873293979674
0.27,0.4552830378030501,0.5216725694148926,0.8415142347886005,0.5542563963941437
0.28,0.546549216043383,0.46392573913819096,0.7931496495926889,0.5491336122640521
0.29,0.3443899573526184,0.4766579270189963,0.5981910279918706,0.5009970158473742
0.3,0.16932269528967628,0.5091879663398652,0.40131431080112717,0.41596540455035313
0.31,0.09215863308820509,0.5219666002864829,0.16957632980351386,0.23909657607121668
0.32,0.04556876331316976,0.35714285714285715,0.07123953031514499,0.10787415436046296
0.33,0.03139603663322302,0.21428571428571427,0.04776230795518464,0.07192816345338514
0.34,0.013601079424307036,0.14285714285714285,0.026394256396588486,0.042866703315088794
0.35,0.00984474946695096,0.14285714285714285,0.012509994669509595,0.02298559175222884
